City_clean,Country,quality,area_km2,lat,long,country_code,xborder_country,geog_region,urban_incity,UC_NM_SRC,H75_AREAkm2,H90_AREAkm2,H00_AREAkm2,biome_list,elevavg_m,built75_km2,built90_km2,built00_km2,built15_km2,pop75,pop90,pop00,pop15,BUCAP75,BUCAP90,BUCAP00,BUCAP15,E_GR_AV90,E_GR_AV00,E_GR_AV14,E_GR_AH90,E_GR_AM90,E_GR_AL90,E_GR_AT90,E_GR_AH00,E_GR_AM00,E_GR_AL00,E_GR_AT00,E_GR_AH14,E_GR_AM14,E_GR_AL14,E_GR_AT14,SDG_LUE9015,SDG_A2G14,SDG_OS15MX
Rio Branco,Brazil,1,72,-9.967801296,-67.82228556,BRA,Brazil,Latin America and the Caribbean,Rio Branco,GISCO OSM,0,43,52,Tropical and Subtropical Moist Broadleaf Forests,150.4188055,25.32810783,25.32810783,29.21100998,30.60800934,82797.49165,153468.8839,213105.6508,320509.3292,305.9042893,165.0374147,137.072902,95.49802937,0.48846712399999997,0.44958040700000002,0.42727543299999998,53.42999623,17.61638994,0,71.04638617,45.723061450000003,25.32332472,0,71.04638617,37.86629662,33.18008955,0,71.04638617,0.25712041499999999,0.250602086,57.49
Berlin,Germany,1,686,52.50695177,13.40979396,DEU,Germany,Europe,Berlin,GISCO OSM,633,667,684,Temperate Broadleaf and Mixed Forests,45.85654017,377.4335938,414.9996033,426.3743591,433.5294189,3059394.68,3143129.199,3293353.661,3271872.312,123.3687161,132.033899,129.4650994,132.501937,0.348600305,0.45009231300000002,0.487585292,112.9985329,550.118735,23.82786012,686.945128,389.09397580000001,296.193719,1.657433148,686.945128,488.67156219999998,196.0065931,2.266972648,686.945128,1.0881478019999999,0.560611408,71.23
Victoria,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brussels,Belgium,1,266,50.84995677,4.370280821,BEL,Belgium,Europe,Brussels,GISCO OSM,218,232,250,Temperate Broadleaf and Mixed Forests,52.79063318,167.5938416,179.0594788,190.180191,195.404953,914970.0493,1027735.586,1131359.604,1381517.485,183.168664,174.2271857,168.0987993,141.4422584,0.37019076000000001,0.43224972900000003,0.466612203,87.242822259999997,164.7473679,14.53956981,266.52976,143.43697850000001,117.9553088,5.137472697,266.52976,167.48438870000001,93.35516788,5.690203438,266.52976,0.29529678500000001,0.32942932,62.96
Cordoba,Argentina,1,304,-31.39589028,-64.20712883,ARG,Argentina,Latin America and the Caribbean,Cordoba,GISCO OSM,210,255,276,"Temperate Grasslands, Savannas, and Shrublands",442.894828,116.5354004,152.6991119,173.4894562,183.0079956,1080158.765,1233850.166,1301823.632,1365994.52,107.8872886,123.7582295,133.2664824,133.9741799,0.34575998499999999,0.373836791,0.31504634100000001,116.23320889999999,177.918469,8.508652688,302.6603306,117.517535,181.7395102,3.403285375,302.6603306,44.096953669999998,249.2036435,9.359733438,302.6603306,1.779581863,0.051616308,100
Hangzhou,China,1,1679,30.22283817,120.3168158,CHN,China,Asia,Hangzhou; Shaoxing; Keqiao; Xiaoshan; Yuhang; Gongshu; 越城区; Binjiang; Jianggan; Xiacheng; Shangcheng; Xihu,GISCO OSM,341,759,1059,Temperate Broadleaf and Mixed Forests,13.92769406,111.1747131,327.9458618,525.0905151,779.6270142,2694548.997,4367393.61,5619428.84,7527414.364,41.25911729,75.08960518,93.4419725,103.5716883,0.42909169200000002,0.35002459000000002,0.323272379,1065.7805060000001,555.1107262,51.27177306,1672.163006,334.95386259999998,1255.276068,81.9330751,1672.163006,119.9978273,1506.942756,45.22242223,1672.163006,1.5907248700000001,0.030597203,53.57
Warsaw,Poland,1,425,52.22529923,20.99571251,POL,Poland,Europe,Warsaw,GISCO OSM,280,344,374,Temperate Broadleaf and Mixed Forests,95.76187604,145.5136719,214.3427734,230.0110016,247.4395599,1680993.297,1801502.631,1785840.97,1789293.617,86.56410003,118.9799947,128.7970236,138.2889636,0.34255285099999999,0.45630704399999999,0.47912822700000002,53.419134569999997,362.7676011,9.814944188,426.0016799,237.69503109999999,188.3066488,0,426.0016799,273.11732050000001,152.8843594,0,426.0016799,-21.115545669999999,0.437640733,64.260000000000005
Tijuana,United States,1,1776,32.82158244,-117.1106947,USA,United States;Mexico,Northern America,Tijuana; San Diego; Chula Vista; Oceanside; Escondido; El Cajon; Vista; Poway,GISCO OSM,1095,1276,1625,"Mediterranean Forests, Woodlands, and Scrub",113.920086,834.3695068,907.890686,1096.079346,1160.308838,2654474.859,3149087.304,3737885.481,4437234.748,314.3256392,288.3027997,293.2351329,261.4936788,0.246674755,0.29438314799999998,0.27243330700000001,0.183363955,1423.207048,347.2871559,1769.001472,11.597016,1572.151283,186.9292696,1770.677568,15.916017200000001,1409.254922,345.5066293,1770.677568,0.71538092900000005,0.00713453,34.67
Nanjing,China,1,629,32.01271314,118.8093005,CHN,China,Asia,Nanjing; Jiangning; 秦淮区; 雨花台区; 玄武区; 建邺区; 鼓楼区; 栖霞区,GISCO OSM,180,337,453,Temperate Broadleaf and Mixed Forests,21.39879943,41.45801544,139.4216003,202.1703796,260.861145,1523839.393,2732652.171,3719567.797,5385671.749,27.20628934,51.02061719,54.3531912,48.43613892,0.32658795299999999,0.27329601599999997,0.31378903299999999,9.9999999999999995E-7,32.12607669,134.2046929,626.9674935,9.9999999999999995E-7,68.79309894,32.28812333,626.8082137,9.9999999999999995E-7,21.62029956,74.05019719,626.9674935,0.92338106799999997,0.033534914,58.53
Wuhan,China,1,838,30.55372322,114.2947295,CHN,China,Asia,Wuhan; 汉阳区; 青山区; Jiang'an; 洪山区; 蔡甸区; 江汉区; 硚口区; 东西湖区,GISCO OSM,445,517,659,Temperate Broadleaf and Mixed Forests,29.81757864,134.5600739,187.3596497,266.460968,321.6928406,3166661.237,4837339.022,5937113.245,7344344.75,42.49272776,38.73196582,44.88056014,43.80143519,0.24831705200000001,0.24820344999999999,0.29559471799999998,8.3636054009999992,659.5562751,167.6043361,828.6579397,28.525383680000001,622.3077794,184.6910534,835.5242165,40.142256639999999,706.8851503,88.49680955,835.5242165,1.294567539,0.019890486,61.61
Victoria,Canada,1,103,48.4509848,-123.3612509,CAN,Canada,Northern America,Victoria,GISCO OSM,84,90,99,Temperate Coniferous Forests,29.26097713,58.08799362,61.86631393,65.73423004,67.56069946,158518.4912,187020.5466,203545.7246,227670.6631,366.4430135,330.7995569,322.9457665,296.7474972,0.46803356299999999,0.49710374099999999,0.51223831399999997,53.307522149999997,43.57026008,6.055184711,102.9329669,63.129637000000002,36.10002498,3.703304957,102.9329669,64.91922812,31.2420013,6.771737518,102.9329669,0.44768090900000002,0.636725544,63.03
