id,SR,H,SRsp,Hsp,FDsp,Coversp,SRpl,Hpl,FDpl,Coverpl,Zone,EC,pHKCl,Cnratio,sub_depth,Age,RoofHeigh,surfarea_log,SVF,PROX200,SDH200,HLI,VisitYear,Vegday,Roofname,roofclust
ID75_z1,11,0.683231,7,1.834372,7.303831,5,4,0.399721,0.013835,89.25,2,0.165,6.795,17.485,5.5,3,2.8,4.007333,0.498798,NA,6.889693,0.805836,2015,29,ID75,ID75
ID78_z1,12,2.070616,7,1.886697,9.789805,5,5,1.219059,0.070767,10.25,2,0.11,7.57,22.84,7,6,3.29,3.871201,0.40341,5.2856,12.52156,0.522599,2015,72,ID78,C10
ID8_z1,5,0.345153,1,0,0,0.333333,4,0.307465,0.011456,50.16667,2,0.05,6.76,20.75,6.333333,14,5.15553,5.159055,0.889866,162.649,5.714591,0.534804,2016,58,ID8,C2
ID80_z1,19,2.111109,18,2.008652,3.999235,25.66667,1,0,0,6.166667,2,0.05,7.01,21.1,7,4,3.78,5.010635,0.157056,13.4601,10.65699,0.841624,2015,72,ID80,C14
ID81_z1,8,0.764706,4,1.329661,9.828393,1.5,4,0.423838,0.013548,18,2,0.07,6.94,14.97,7,4,22.14476,5.273,0.543204,8.3032,11.19184,0.844161,2015,74,ID81,C14
ID82_z1,5,1.280167,0,0,NA,0,5,1.280167,0.054889,9.833333,2,NA,NA,NA,6,2,8.03,5.726848,0.969878,87.0277,6.891495,0.843876,2015,101,ID82,ID82
ID83_z1,4,0.422879,0,0,NA,0,4,0.422879,0.01348,21.7,2,0.07,7.19,12.68,5,2,4.57846,6.226537,0.927765,119.9704,7.088858,0.791066,2015,46,ID83,C12
ID85_z1,7,1.67499,1,0,0,0.666667,6,1.487817,0.066769,5,2,0.08,6.91,33.34,4.5,4,12.28652,5.288267,0.819587,191.977,7.446828,0.836141,2015,40,ID85,C19
ID85_z2,18,2.551139,13,2.523211,7.526007,7.5,5,1.293304,0.051373,8.75,1,0.07,6.93,46.96,4.5,4,12.28652,5.288267,0.819587,191.977,7.446828,0.836141,2015,40,ID85,C19
ID86_z1,7,1.3347,2,0.636514,2.144932,1.5,5,1.017286,0.072438,11.25,2,0.05,6.52,15.26,5,11,10.53758,5.966147,0.737988,50.4076,7.721588,0.839743,2015,31,ID86,C4
ID86_z2,9,1.959569,5,1.549826,6.515054,3.5,4,1.255482,0.11472,8,1,0.07,6.47,13.62,5,11,10.53758,5.966147,0.737988,50.4076,7.721588,0.839743,2015,31,ID86,C4
ID86_z3,6,1.648847,1,0,0,1,5,1.498569,0.072951,13,3,0.07,6.69,14.57,5,11,10.53758,5.966147,0.737988,50.4076,7.721588,0.839743,2015,31,ID86,C4
ID87_z1,20,2.955215,12,2.442551,7.873678,12.5,8,2.043192,0.215875,9,2,0.08,7.11,14.51,5,11,6.53096,3.7612,0.427838,43.5979,7.818198,0.551015,2015,42,ID87,C4
ID87_z2,9,1.358629,3,1.098612,7.204939,3,6,1.013135,0.067931,25.5,1,0.08,6.41,13.58,5,11,6.53096,3.7612,0.427838,43.5979,7.818198,0.551015,2015,42,ID87,C4
ID88_z1,7,1.227815,4,1.077573,5.867843,3.75,3,0.863482,0.071937,31.125,2,0.1,5.79,13.8,5,11,10.49301,6.095825,0.768113,54.9971,8.173329,0.84118,2015,16,ID88,C4
ID88_z2,7,1.302832,4,1.213008,8.367798,8,3,0.600483,0.050648,25,1,0.06,6.66,13.54,5,11,10.49301,6.095825,0.768113,54.9971,8.173329,0.84118,2015,16,ID88,C4
ID88_z3,4,0.628209,0,0,NA,0,4,0.628209,0.03405,50,3,0.08,6.97,16.68,5,11,10.49301,6.095825,0.768113,54.9971,8.173329,0.84118,2015,16,ID88,C4
ID89_z1,6,1.178013,1,0,0,1,5,1.017101,0.076203,16.5,2,0.04,6.76,14.11,5,11,10.45751,5.332719,0.752948,72.1637,8.81075,0.840806,2015,53,ID89,C4
ID89_z2,11,2.304619,6,1.648847,7.702403,7,5,1.574097,0.154794,7,1,0.05,6.72,15.71,5,11,10.45751,5.332719,0.752948,72.1637,8.81075,0.840806,2015,53,ID89,C4
ID90_z1,12,2.098512,7,1.878967,3.505011,4.5,5,1.399458,0.094662,12.75,2,0.09,6.17,11.5,8,12,10.32,5.455321,0.943939,78.0916,9.094514,0.843265,2016,35,ID90,C4
ID91_z1,5,1.085515,1,0,0,0.666667,4,0.896379,0.037794,9,2,0.11,6.45,12.03,5,11,10.03983,5.780744,0.927665,47.3503,7.792839,0.844162,2015,32,ID91,C4
ID92_z1,15,1.952668,12,2.40616,9.07577,6.333333,3,0.919082,0.067777,15.5,2,0.08,7.07,18.07,6,6,2.74237,5.049856,0.610092,46.6786,7.870605,0.842322,2015,52,ID92,ID92
ID96_z1,9,2.017364,1,0,0,0.25,8,1.917216,0.134562,5,2,0.04,6.77,10.33,2,5,13.76327,6.476972,0.971968,NA,9.455629,0.839743,2015,39,ID96,C3
ID96_z2,10,2.119281,1,0,0,0.5,9,2.014036,0.188993,8,1,0.05,6.95,11.38,2,5,13.76327,6.476972,0.971968,NA,9.455629,0.839743,2015,39,ID96,C3
ID97_z1,6,1.215943,1,0,0,1,5,1.053711,0.044249,15.91667,2,0.06,7.045,13.81,5,3,7.62331,6.55108,0.743951,NA,8.782743,0.83649,2015,39,ID97,ID97
ID97_z2,9,1.51331,5,1.418069,5.835719,3.25,4,1.108369,0.045683,23.75,1,0.07,7.04,14.76,5,3,7.62331,6.55108,0.743951,NA,8.782743,0.83649,2015,39,ID97,ID97
ID98_z1,19,1.110754,16,2.712962,9.93101,11,3,0.119801,0.011561,46,2,0.08,7,13.93,5,3,4.83614,3.688879,0.254811,70.9549,7.246445,0.548357,2015,70,ID98,ID98
ID99_z1,5,0.82033,1,0,0,0.125,4,0.797095,0.039804,30.5625,2,0.21,6.84,14.49,2,14,7.86441,6.253829,0.749667,NA,8.130847,0.840965,2015,4,ID99,C9
ID99_z2,9,1.445473,4,1.329661,4.562697,3,5,1.099371,0.054523,27.25,1,0.24,6.82,15.35,2,14,7.86441,6.253829,0.749667,NA,8.130847,0.840965,2015,4,ID99,C9
