STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PM_CONCENTRATION,PM concentration level,TIME_SEASON,Time of the day and season,TERRITORIAL_LEVEL,Territorial level,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,AUS14F,Geelong,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,PT_LAR,Percentage of land area,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,30.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,DE058F,Aschaffenburg,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,M2_PS,Square metres per person,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,236,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,FR018F,Orléans,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,M2_PS,Square metres per person,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,145,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,UK001F,London,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,M2_PS,Square metres per person,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,95,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,UK055F,Eastbourne,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,M2_PS,Square metres per person,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,120,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,FR076F,Annemasse-Geneva (French part),A,Annual,GREEN_AREA,Green area in FUAs' urban centres,M2_PS,Square metres per person,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,120,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,UK517F,Swansea,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,M2_PS,Square metres per person,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,239,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,COL50F,Arauca,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,M2_PS,Square metres per person,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,79,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,NL003F,Almelo,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,M2_PS,Square metres per person,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,256,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_FUA_ENV@DF_GREEN_AREA(1.0),Green areas - FUAs,I,PL051F,Tczew,A,Annual,GREEN_AREA,Green area in FUAs' urban centres,M2_PS,Square metres per person,_Z,Not applicable,_Z,Not applicable,FUA,FUA,2021,,145,,A,Normal value,0,Units,0,Zero
