City_clean,Country,lat,long,LISA_P,LISA_CL,cv2,cv2_min,cv2_max,cv2_SD,cv1,cv1_min,cv1_max,cv1_SD,Continent,CellArea,cv,cv_min,cv_max,cv_SD,Age_mean,Age_min,Age,Age_SD
Quezon City [Manila],Philippines,14.55191389,121.0191782,0.1200000,"0",125.88742638000,42.30518341000,200.00000000000,68.63575346000,76.42818165000,31.20123482000,121.65512848000,63.96056159000,"6",332.38780214000,171.51043510500,87.25229645000,244.94898987000,85.25845431200,3.50000000000,"1","7",3.00000000000
Warsaw,Poland,52.22529923,20.99571251,0.3300000,"0",13.83385188000,0.00007602000,50.15106964000,24.33449898000,7.62723686000,0.00014516000,22.88141441000,13.21050527000,"1",210.26779938000,45.12874331000,0.00006918000,158.14154053000,76.07648892950,5.75000000000,"2","7",2.50000000000
Lublin,Poland,51.23850451,22.56071837,0.4400000,"0",7.64933324000,7.51721287000,7.77115059000,0.10519859000,22.38835454000,14.40793228000,45.83510590000,15.63164285000,"1",214.97519684000,20.60076594250,13.28115940000,42.27666092000,14.45076640800,6.75000000000,"6","7",0.50000000000
Cape Town,South Africa,-33.94764796,18.57842297,0.1700000,"0",29.65305281000,19.54041290000,39.93358231000,8.40307754000,69.42073441000,38.17716217000,123.10964203000,46.70360098000,"2",285.01460266000,86.57831668750,55.67246628000,135.63873291000,35.62105084360,5.50000000000,"3","7",1.91485421551
Johannesburg,South Africa,-26.17977081,28.05553562,0.0200000,"3",32.55417633000,32.54595566000,32.56239700000,0.01162578000,223.60679626000,223.60679626000,223.60679626000,0.00000000000,"2",308.03359984000,104.60357666000,104.59368134000,104.61347198000,0.01399409575,4.00000000000,"4","4",0.00000000000
Durban,South Africa,-29.78780375,31.01235218,0.3000000,"0",24.31511784000,21.63878441000,26.99145126000,3.78490703000,127.51742554000,31.42805481000,223.60679626000,135.89089128000,"2",223.67020417000,74.93191909500,50.89526367000,98.96857452000,33.99296409610,5.50000000000,"4","7",2.12132034356
Cheonan-si,South Korea,36.83054952,127.1423916,0.0200000,"2",36.10160828000,17.68088531000,54.52233124000,26.05083625000,29.92973900000,29.92973900000,29.92973900000,0.00000000000,"5",275.19300842000,103.06102371000,42.81511688000,163.30693054000,85.20057851650,4.50000000000,"2","7",3.53553390593
Seoul,South Korea,37.47555477,126.9243735,0.2600000,"0",96.22955894000,54.66120148000,126.13288116000,34.27101395000,23.84883499000,23.84883499000,23.84883499000,0.00000000000,"5",272.78340150000,186.27538299500,97.08966064000,244.94898987000,72.18574872510,2.75000000000,"1","7",2.87228132327
Madrid,Spain,40.40404665,-3.708166287,0.1400000,"0",17.39505091000,0.00006115000,52.83332062000,24.90958460000,22.50224495000,22.18087387000,22.82361603000,0.45448734000,"1",261.48799132000,80.61709451750,18.68644524000,158.16438293000,69.25296396360,4.75000000000,"2","7",2.62995563968
Valencia,Spain,39.48043152,-0.407237737,0.2700000,"0",32.58932749000,0.00000000000,81.66265869000,43.25493313000,29.86555819000,0.00007542000,59.73104095000,42.23617077000,"1",265.33419800000,71.15538262000,0.00006815000,158.13504028000,80.24633780230,5.33333333333,"2","7",2.88675134595
Barcelona,Spain,41.41556989,2.171428026,0.2400000,"0",16.98523966000,0.00000000000,50.95571899000,29.41929808000,22.56640434000,0.00000000000,45.13280869000,31.91371508000,"1",193.13019562000,63.51125717000,0.00000000000,158.11463928000,83.51706390690,5.33333333333,"2","7",2.88675134595
Malmo,Sweden,55.59550083,13.00774691,0.0100000,"3",14.97481918000,14.25609779000,15.63628197000,0.64797925000,19.39288585000,17.06264687000,21.02879906000,2.07223478000,"1",194.12200164000,57.49897861250,34.76413345000,118.30728149000,40.57832066220,6.00000000000,"3","7",2.00000000000
Stockholm,Sweden,59.33157275,18.00055029,0.2500000,"0",16.32673184000,4.08639860000,24.84321976000,10.86791949000,36.89653015000,35.79991913000,37.87323761000,1.04184693000,"1",175.60499572000,53.41200129330,42.40135956000,61.52706146000,9.88617280594,7.00000000000,"7","7",0.00000000000
Zurich,Switzerland,47.35646431,8.561740229,0.1700000,"0",23.56741864000,2.06441331000,52.58637238000,21.07705368000,82.93116252000,29.32980347000,186.80299377000,89.97106033000,"1",232.40160370000,86.96732425500,36.63673019000,159.89675903000,54.51606333510,5.25000000000,"2","7",2.36290781313
New Taipei [Taipei],Taiwan,25.00684104,121.4128047,0.0800000,"0",86.70987256000,28.07982826000,143.50817871000,57.73597207000,54.50438690000,54.50438690000,54.50438690000,0.00000000000,"5",311.06278992000,168.79785156300,91.86244202000,244.94898987000,76.54628726590,3.33333333333,"1","7",3.21455025366
Birmingham,United Kingdom,52.51213812,-1.965490369,0.0100000,"3",25.66313266000,23.09891891000,26.62748909000,1.71342888000,62.02671433000,32.29713058000,142.73643494000,53.84360359000,"1",208.68439484000,66.05217266250,55.56819916000,82.43458557000,11.48483489030,6.50000000000,"5","7",1.00000000000
Sheffield,United Kingdom,53.388841,-1.417890387,0.0100000,"3",21.78933596000,14.52221394000,24.23278236000,4.84477111000,33.01219082000,31.16701889000,33.66907501000,1.23047313000,"1",204.69499970000,54.91524029000,45.78518677000,58.01377106000,6.08682843551,7.00000000000,"7","7",0.00000000000
Dundee,United Kingdom,56.47408546,-2.939978337,0.0100000,"3",25.87938392000,6.95830822000,81.82763672000,37.29935697000,57.29894034000,15.03190708000,141.60795593000,73.01383598000,"1",189.98079682000,67.19668579250,22.54412842000,158.33328247000,63.95359066470,5.25000000000,"2","7",2.36290781313
"Milton Keynes, Bedford, Luton",United Kingdom,,,,,,,,,,,,,,,,,,,,,,
