fid,eFUA_ID,UC_num,UC_IDs,eFUA_name,Commuting,Cntry_ISO,Cntry_name,FUA_area,UC_area,FUA_p_2015,UC_p_2015,Com_p_2015,Age_mean_m,Age_mean_s,Age_min_me,Age_min_st,Age_mean,Age_stddev,Age_SD_mea,Age_SD_std
8531,4510,1,140,Seattle,1,USA,United States,8328,1885,3866486.799,2678205.033,1188281.766,3.933824,1.993328,2.647059,2.23452,5.058824,2.350734,1.317288,1.385339
8533,4609,1,147,Las Cruces,1,USA,United States,620,40,157558.3428,64074.67851,93483.66424,3.4,2.059126,2,1.549193,4.4,2.8,1.541348,1.42276
8560,5332,2,272;277,Denver,1,USA,United States,6917,1409,2928613.322,2320559.845,608053.4772,3.898148,2.13935,2.944444,2.067533,4.666667,2.44949,0.985484,0.977112
8610,6192,4,483;484;487;491,St. Louis,1,USA,United States,6517,1206,2469859.58,1498419.829,971439.7516,3.583333,2.180047,2.75,2.25,4.46875,2.397712,0.931096,1.095796
8651,6654,5,634;635;644;648;652,Chicago,1,USA,United States,13185,4302,8797568.994,7398069.16,1399499.834,4.024691,2.207453,3.333333,2.309401,4.685185,2.440583,0.754475,1.063666
8672,6851,1,707,Charlotte,1,USA,United States,5134,325,2020478.228,370497.0553,1649981.173,4.485632,1.747613,2.965517,2.20474,5.758621,1.694925,1.456447,1.148224
8692,6990,1,790,Cleveland,1,USA,United States,4770,950,1880819.79,1188874.549,691945.2408,4.215909,2.127065,3.318182,2.264074,5.045455,2.265899,0.977909,1.070498
8700,7068,8,852;855;856;858;859;871;874;877,Washington D.C.,1,USA,United States,7446,1926,5638693.815,4047672.569,1591021.246,4.042857,2.080557,2.657143,1.984841,5.142857,2.462784,1.353196,1.265778
8707,7141,2,890;889,Buffalo,1,USA,United States,3623,475,1085097.218,659915.6658,425181.5524,2.87037,1.478556,2.111111,1.328696,3.5,2.034426,0.740468,1.003625
8718,7244,6,942;949;945;947;953;970,New York,1,USA,United States,17489,6057,19523052.76,16668394.1,2854658.655,4.108333,2.085474,3.25,2.277608,4.95,2.097022,0.872697,0.758881
na,na,na,na,Thousand Oaks,1,USA,United States,na,na,na,na,na,2.333333333,na,na,na,na,na,2.309401077,na
